Designator,Mid X,Mid Y,Layer,Rotation
C1,-188.8,-72.534717,bottom,90
J1,-147.36,-75.594717,bottom,-90
J8,-196.9,-68.434717,bottom,180
Q1,-191.4,-69.034717,bottom,-90
Q2,-191.45,-77.334717,bottom,90
R1,-188.8,-69.034717,bottom,90
R2,-194,-70.934717,bottom,90
R3,-188.9,-77.534717,bottom,90
R4,-194.1,-75.234717,bottom,90
R5,-147.4,-71.734717,bottom,90
U1,-191.4,-73.034717,bottom,-90
