Ref,Val,Package,PosX,PosY,Rot,Side
"","","",159.200000,-146.434717,0.000000,top
"","","",145.750000,-82.884717,0.000000,top
"","","",152.500000,-67.184717,90.000000,top
"","","",158.000000,-77.834717,0.000000,top
"","","",145.900000,-80.434717,0.000000,top
"","","",185.800000,-76.634717,0.000000,top
"","","",145.750000,-131.884717,0.000000,top
"","","",196.500000,-65.834717,0.000000,top
"","","",194.450000,-131.834717,0.000000,top
"","","",183.750000,-142.634717,0.000000,top
"","","",148.500000,-80.434717,0.000000,top
"","","",185.800000,-68.134717,0.000000,top
"","","",157.250000,-146.434717,0.000000,top
"","","",147.300000,-16.934717,0.000000,top
"","","",146.550000,-80.434717,0.000000,top
"","","",156.450000,-136.784717,0.000000,top
"","","",147.200000,-80.434717,0.000000,top
"","","",157.900000,-146.434717,0.000000,top
"","","",150.700000,-133.084717,0.000000,top
"","","",196.500000,-15.934717,0.000000,top
"","","",156.450000,-143.784717,0.000000,top
"","","",183.750000,-134.134717,0.000000,top
"","","",147.850000,-80.434717,0.000000,top
"","","",158.000000,-70.834717,0.000000,top
"","","",158.550000,-146.434717,0.000000,top
"","","",194.450000,-81.934717,0.000000,top
